prefecture_id,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-6,2024-7,2024-8,2024-9,2024-10,2024-11,2024-12,2025-1
32,1749.0,1702.0,1803.0,1798.0,1890.0,1797.0,1874.0,1691.0,1841.0,1668.0,1719.0,1739.0,1628.0,1555.9999999999995,1649.999999999999,1642.0
33,6523.0,6146.0,6369.0,6261.0,6997.0,6664.0,7226.0,6191.0,6233.0,5970.0,6442.0,6257.0,6425.0,6309.0,7115.0,6739.999999999999
34,10181.0,9847.0,9767.0,9794.0,10060.0,9359.0,9777.0,9815.0,10073.0,9365.0,9481.0,9847.0,9789.0,9952.0,10269.0,9966.0
35,4388.0,4237.0,4118.0,3931.0,4692.0,4141.0,4360.0,4070.0,3956.0,3664.0,3928.0,4042.0,3910.0,3804.0,4100.0,3866.0
36,2432.0,2354.0,2053.0,2220.0,2356.0,2170.0,2278.0,2385.0,2285.0,2145.0,2059.0,2153.0,2290.0,2360.0,2523.0,2399.0
37,3174.0,3182.0,3099.0,2960.0,3181.0,3039.0,3187.0,3118.0,3036.0,2796.0,3015.0,2942.0,2919.0,2994.0000000000005,3067.0000000000005,3015.0000000000005
38,4685.0,4260.0,4132.0,4594.0,4935.0,4688.0,4427.0,4216.0,4342.0,4164.0,4332.0,4385.0,4352.0,4436.0,4559.0,4388.0
39,2407.0,2505.0,2273.0,2211.0,2575.0,2599.0,2516.0,2411.0,2432.0,2180.0,2165.0,2381.0,2386.0,2393.9999999999995,2539.9999999999995,2378.9999999999995
40,18608.0,17566.0,17259.0,17931.0,18222.0,17718.0,18266.0,17811.0,18466.0,17802.0,17787.0,19224.0,18801.0,18952.0,20489.0,19260.0
41,3175.0,2892.0,2713.0,2721.0,2777.0,2878.0,2642.0,2645.0,2817.0,2753.0,2756.0,2831.0,2691.0,2879.0,2921.0,2698.0
42,4884.0,4618.0,4060.0,4518.0,4741.0,4469.0,4455.0,4389.0,4487.0,4327.0,4301.0,4727.0,4543.0,4533.999999999999,4742.999999999999,4468.999999999999
43,6012.0,5953.0,5680.0,6235.0,6403.0,6097.0,6184.0,6146.0,6303.0,6168.0,6054.0,6539.0,6164.0,6083.0,6664.0,6187.0
44,3973.0,3827.0,3647.0,3828.0,3888.0,3815.0,3941.0,3934.0,4039.0,3834.0,3604.0,4318.0,3951.0,3953.0,4202.0,3985.0000000000005
45,3905.0,3382.0,3610.0,3225.0,3758.0,3357.0,3701.0,3484.0,3234.0,2913.0,3015.0,3406.0,3315.0,3473.0,3770.0,3421.0
46,6105.0,5182.0,4952.0,4917.0,5620.0,5081.0,5527.0,5010.0,4987.0,4726.0,4628.0,5416.0,5185.0,5027.0,5577.0,5003.0
47,4713.0,4462.0,4150.0,4250.0,4830.0,4495.0,4835.0,4556.0,4587.0,4721.0,4281.0,4282.0,4610.0,4638.0,4896.0,4651.0
